,vaga,empresa,localização,salário,requisitos,job_url
64,Vagas de emprego: Protega Security Consulting,Protega Security Consulting,"Home office in São Paulo, SP",,Será o responsável por *cuidar da governança dos acessos lógicos dos usuários de forma dedicada a este cliente*.Residência na* região de São Paulo;*.,
65,Vagas de emprego: CROSS – Central de Regulação de Ofertas de Serviços de Saúde,CROSS – Central de Regulação de Ofertas de...,"São Paulo, SP",,"Conhecimentos em modelagem de dados, desenvolvimento de banco de dados, data mining e técnicas de segmentação, ferramentas e processos de trabalho de BI (Power…",
66,Mondelēz International,Mondelēz International,"Home office in São Paulo, SP",,Desenhar interfaces com time da folha de pagamento garantindo integridade de todos dados necessários e simplificaçao de processos.,
67,Grupo Ri Happy,Grupo Ri Happy,"Home office in São Paulo, SP",,"Desenvolvimento e automatização de reports, dashboards.Day off no dia do seu aniversário.",
68,IQVIA,IQVIA,"São Paulo, SP",,"Pelo menos 5 anos de experiência em várias funções de processamento de dados, como desenvolvedor/administrador de banco de dados, desenvolvedor de ETL, analista…",
69,Experian,Experian,"São Paulo, SP",,"Somos formados por gente inquieta, inconformada, que acorda todos os dias para mudar a realidade do crédito no Brasil.Gerenciamento das atividades no JIRA;",
70,Vagas de emprego: Carreira Smilink,Carreira Smilink,"São Paulo, SP",,Manipular bases de dados para execução dos estudos planejados;Conhecimento em MS Power BI ou outra ferramenta de visualização de dados;,
71,Vagas de emprego: UOTZ INTELIGENCIA DE MERCADO,UOTZ INTELIGENCIA DE MERCADO,"São Paulo, SP",R$ 3.000 - R$ 4.000 por mês,Desejável Perfil em foco em dados; Nível avançado em Excel; Programação em VBA.Benefícios Vale-transporte; Vale-refeição ou alimentação; Seguro saúde.,
72,Sinqia,Sinqia,"Home office in São Paulo, SP",,"NET PL para compor nosso time e nos ajudar a fazer o mercado financeiro pulsar!NET, C#, SQL Server, oracle, Angular entre outras tecnologias.",
73,Vagas de emprego: Lider BPO Contact Center Ltda,Lider BPO Contact Center Ltda,"Home office in São Paulo, SP",R$ 3.500 - R$ 4.000 por mês,SQL (MANIPULAÇÃO DE BASES PARA IMPLENTAÇÃO DE ESTUDOS);ACCESS INTERMEDIÁRIO/AVANÇADO (CRIAÇÃO DE BASES OTIMIZADAS PARA REALIZAÇÃO DE ESTUDO E MAPEAMENTO DE…,
74,Safra Investimento,Safra Investimento,"São Paulo, SP",,"Estamos em busca de um Engenheiro de Dados para a nossa equipe - afinal, por trás de todo dado gerado há um profissional qualificado para propor novas soluções.",
75,Vagas de emprego: Fbiz,Fbiz,"Home office in São Paulo, SP",,"Estamos em busca de uma pessoa que goste de matemática, estatística e tenha familiaridade com números.Se você se identifica, te esperamos por aqui.",
76,Vagas de emprego: Jobbol,Jobbol,"São Paulo, SP",,Fará interpretação de todos os dados relacionados ao tráfego.Imobiliária admite Analista de Tráfego de Impulsionamento em São Paulo (Vila Nova Conceição) para…,
77,Banco Bradesco SA,Banco Bradesco SA,"Osasco, SP",,"Monitoramento da consistência dos dados divulgados pela área;Levantamento de dados, através de SAS / SQL, para atendimento de demandas pontuais;",
78,Vagas de emprego: Desenvolver RH,Desenvolver RH,"São Paulo, SP",R$ 1.500 - R$ 2.200 por mês,Olá! Seja bem-vindo a página de Recrutamento de Talentos da Desenvolver!A nossa oportunidade e para você que tem experiência como Analista em sucesso do…,
79,Linx,Linx,"São Paulo, SP",,POR QUE SE JUNTAR AO #TIMEFODA DA LINX?A Linx é uma das melhores empresas de Tecnologia para se trabalhar no Brasil segundo o GPTW e os mais de 4 mil…,
80,Vagas de emprego: Pontal Tech,Pontal Tech,"Home office in São Paulo, SP","R$ 32,57 por dia",Banco de dados (Desejável MySQL) Básico;A Pontaltech representa o progresso diante de um cenário cada vez mais desafiador: conectar empresas com seus públicos…,
81,Vagas de emprego: MoveTruly,MoveTruly,"Home office in São Paulo, SP",R$ 1.580 - R$ 2.000 por mês,"Levantar os dados das personas, quais seus interesses e necessidades;Nossa missão é levar aos nossos clientes uma experiência inovadora e transformadora na…",
82,Vagas de emprego: Grupo ITG,Grupo ITG,"São Paulo, SP",,"Formação completa ou em andamento nos seguintes cursos: engenharia da computação, ciência de computação, banco de dados, rede de computadores ou cursos…",
83,Vagas de emprego: TECNOLAMP,TECNOLAMP,"São Paulo, SP",R$ 2.342 - R$ 3.000 por mês,"Deverá cumprir com a importante função de gerenciar dados de fontes internas e externas, Conseguindo organizá-los em softwares, sites ou bancos de dados.",
84,Vagas de emprego: J&T Express Brasil,J&T Express Brasil,"São Paulo, SP",,"Identificar, analisar e interpretar tendências ou padrões em conjuntos de dados complexos;Desenvolver e implementar análises de dados, entendendo fatores que…",
85,Vagas de emprego: G4 Educação,G4 Educação,"São Paulo, SP",,Validar e garantir a integridade dos dados reportados;Alta capacidade em análise e manipulação de base de dados de B.I.;,
86,Vagas de emprego: marketdata,marketdata,"São Paulo, SP",,Organizar banco de dados para ações de Marketing e do Comercial.A Marketdata é uma das mais completas empresas de marketing de relacionamento do mercado latino…,
87,Vagas de emprego: Centro de Excelência Votorantim BR,Centro de Excelência Votorantim BR,"São Paulo, SP",,Buscamos por analistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.É importante que você conheça sobre:,
88,Vagas de emprego: E-MITH,E-MITH,"São Paulo, SP",R$ 1.500 por mês,"Gerenciamento de dados destas prospecções em CRM.Então, nossos contatos são feitos com os analistas e gerente da área de TI.Em média 50 ligações por dia.",
89,Alelo,Alelo,"Home office in Barueri, SP",,"Gosta de resolver problemas, fazer análises e usar dados para apoiar a tomada de decisão?Somos uma empresa jovem, de valores sólidos, movida a desafios e com…",
90,Alelo,Alelo,"Home office in Barueri, SP",,"Estamos, pelo oitavo ano consecutivo, entre as 150 melhores empresas para se trabalhar.Porque o reconhecimento das conquistas individuais é bom, mas reconhecer…",
91,Vagas de emprego: Vem Pra Vivo,Vem Pra Vivo,"Home office in São Paulo, SP",,"Ser você quer usar um dress code que respeita sua individualidade;Usufruir de um horário flexível, trabalho remoto e day off;",
