,vaga,empresa,localização,salário,requisitos
27,FEMME - LABORATÓRIO DA MULHER,FEMME - LABORATÓRIO DA MULHER,"São Paulo, SP",,Acompanhar o avanço do nível técnico das colaboradoras;Elaborar os indicadores operacionais e apresentar mensalmente em reunião;
28,Vagas de emprego: COOPSALVE Cooperativa dos Profissionais na área de saúde,COOPSALVE Cooperativa dos Profissionais na área de...,"São Paulo, SP",R$ 1.600 - R$ 1.900 por mês,"Somos a CoopSalve, uma nova cooperativa de profissionais da área da saúde. Estamos com a vaga de Assistente de Recrutamento e Seleção em aberto, venha fazer…"
29,Vagas de emprego: SpeedJob,SpeedJob,"São Paulo, SP",R$ 8.000 por mês,. Será responsável por supervisionar as atividades de recursos humanos envolvendo.
30,Coordenador de Vendas,Consultoria Perfilando RH,"São Paulo, SP",R$ 4.000 - R$ 7.000 por mês,"- Possuir experiência com vendas de implementos rodoviários, máquinas e/ou caminhões - Capacidade de organização, gerenciamento e motivação de equipes - Ter…"
31,Analista de RH Generalista,btech brasil design e projetos ltda,"São Caetano do Sul, SP",R$ 2.500 por mês,"Vagas voltadas para Engenharia e Projetos, como Projetistas, Analistas, Engenheiros."
32,Auxiliar de Limpeza,Padaria Samara,"São Caetano do Sul, SP",R$ 1.605 por mês,"Executa trabalhos de limpeza e conservação em geral nas dependências internas e externas da empresa, bem como dos utensílios, móveis e equipamentos em geral.…"
33,Executivo de Contas III,Grupo Fleury,"São Paulo, SP",,O Grupo Fleury informa que a participação em seus processos seletivos é gratuita e nenhum colaborador ou terceiro está autorizado a cobrar valores para…
34,Aprendiz Administrativo (RH - Fiscalizações),GPA,"São Caetano do Sul, SP",,"Por isso, sabemos que as pessoas são o ativo mais valioso que podemos ter."
35,Assistente de Recrutamento e Seleção,OOPSALVE COOPERATIVA DE TRABALHO DE PROFISSIONAIS...,"São Paulo, SP",R$ 1.500 - R$ 2.000 por mês,Responsabilidades: Triagem de currículos em grande volume; Contato com os candidatos; Entrevistas; Feedbacks; Outras rotinas de RH. Requisitos Superior…
36,Desenvolvedor ADVPL (Contrato Temporário com chances de efet...,TMF Group,"Home office in Barueri, SP",,"Day-off (folga no dia do aniversário).Na TMF Group, nosso pessoal é o que nos torna quem somos."
