,vaga,empresa,localização,salário,requisitos
36,Vagas de emprego: DATAB,DATAB,"São Caetano do Sul, SP",,"Como principal atividade, esse profissional ensinará e repassará essa paixão para outras pessoas por meio da produção de conteúdo técnico educacional sobre a…"
37,Experian,Experian,"São Paulo, SP",,"Portanto, acreditamos que trabalhar conectados como um time único e em um ambiente dinâmico e desafiador é extremamente importante para o crescimento pessoal e…"
38,Gympass,Gympass,"Home office in São Paulo, SP",,"Our team is responsible for providing our users with the tools they need to discover Gympass products and services that best fits their interests, such as gyms,…"
39,Clearsale,Clearsale,"Home office in São Paulo, SP",,"Gerir, criar e dar manutenção aos indicadores contratuais que temos com nossos clientes;Trabalho com grandes volumes de dados com extração e manipulação de…"
40,Wipro Limited,Wipro Limited,"São Paulo, SP",,Experience in testing distributed Cloud based applications.Understand existing test cases and develop new ones.Good understanding of CI/CD pipeline.
41,Vagas de emprego: SpeedJob,SpeedJob,"São Paulo, SP",R$ 1.950 por mês,. Irá dar suporte aos clientes internacionais;. Possuir conhecimento mínimo sobre mercado financeiro.
42,vagas de emprego: São Paulo,,"São Paulo, SP",R$ 8.000 por mês,Desenvolver e manter uma API em Python Flask.Desenvolver e manter banco de dados MySQL com ORM (SQLAlchemy).
43,Vagas de emprego: Capim,Capim,"Home office in São Paulo, SP",R$ 8.000 - R$ 10.000 por mês,Somos uma fintech que está transformando os serviços financeiros no setor de saúde no Brasil.Definir técnicas e abordagens para os problemas de data science…
44,Itaú Unibanco,Itaú Unibanco,"São Paulo, SP",,"Analisar e acompanhar o Ciclo de Concessão de Acessos de maneira a garantir a sua efetividade, conclusão nos prazos pré-estabelecidos e retroalimentação ao…"
45,Vagas de emprego: Vem Pra Vivo,Vem Pra Vivo,"Home office in São Paulo, SP",,"Para que o cliente tenha uma melhor experiência com os nossos serviços, temos o time de Engenharia e Serviços ao Cliente.Net, C#, Java e Java script;"
46,Gympass,Gympass,"São Paulo, SP",,Definition and execution of a continuous improvement process for the project.Monitor metrics and expose insights into how the project is doing over the weeks…
47,Vagas de emprego: Signifyd,Signifyd,"Home office in São Paulo, SP",,The Data Science team at Signifyd builds the models that power our fraud detection engine.Our machine learning pipeline keeps us one step ahead of fraudsters…
48,Vagas de emprego: Centro de Excelência Votorantim BR,Centro de Excelência Votorantim BR,"São Paulo, SP",,Buscamos por cientistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.Banco de Dados e SQL;
49,Vagas de emprego: IFT-UNESP,IFT-UNESP,"São Paulo, SP",R$ 8.468 por mês,"A implantação será feita em colaboração com o instituto ICTP em Trieste, Itália (www.ictp.it)."
50,CAPCO,CAPCO,"São Paulo, SP",,"Expertise técnica em modelos de dados, desenvolvimento de design de banco de dados, mineração de dados e técnicas de segmentação;"
51,Vagas de emprego: ITAPEVA Recuperação de Créditos,ITAPEVA Recuperação de Créditos,"São Paulo, SP",R$ 3.500 por mês,"Formação Superior Completa em Ciência da Computação, Análise de Sistemas, Banco de Dados, Big Data ou áreas relacionadas a Tecnologia da Informação;"
52,Vagas de emprego: Luby Software,Luby Software,"São Paulo, SP",,"4+ anos em desenvolvimento de softwares ou experiência comprovada em grandes projetos.Conhecimentos em ferramentas da suíte Apache (Airflow, Solr, FluentD)."
53,PayGo Pagamentos,PayGo Pagamentos,"Home office in São Paulo, SP",,Garantir a comunicação dos ambientes (On-Premises e Clouds) de forma segura e automatizada com transparência e baixa latência;
54,Vagas de emprego: Magroove Serviços Digitais,Magroove Serviços Digitais,"Home office in São Paulo, SP",R$ 999 - R$ 1.000 por mês,Nosso objetivo é ajudar artistas independentes a monetizar seu trabalho com uma plataforma web que concentra diversas ferramentas que eles vão precisar no…
